frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
118,1.0,[1114.6583251953125 713.59716796875 1196.787353515625 747.259765625],[1114.6583251953125 713.59716796875 1196.787353515625 747.259765625],0.3278985023498535,AP05JGO,0.11943759987151938
119,1.0,[1110.4873046875 723.3469848632812 1212.267578125 759.6654052734375],[1110.4873046875 723.3469848632812 1212.267578125 759.6654052734375],0.5030902028083801,AP05JEQ,0.32951782432494714
120,6.0,[579.059814453125 957.3004760742188 671.2982788085938 1000.86328125],[579.059814453125 957.3004760742188 671.2982788085938 1000.86328125],0.6303799152374268,GY15OCJ,0.646732831371594
121,1.0,[1119.494140625 725.971435546875 1217.0986328125 767.5404052734375],[1119.494140625 725.971435546875 1217.0986328125 767.5404052734375],0.5972044467926025,AP05JEQ,0.3752694379332806
122,6.0,[573.1923828125 964.10888671875 670.9605712890625 1012.8389282226562],[573.1923828125 964.10888671875 670.9605712890625 1012.8389282226562],0.6342851519584656,GY15OCJ,0.7135005639606258
122,1.0,[1115.78857421875 729.6104736328125 1215.327880859375 770.1088256835938],[1115.78857421875 729.6104736328125 1215.327880859375 770.1088256835938],0.5393122434616089,AP05JEQ,0.36693076591641804
123,6.0,[567.5687255859375 972.2999267578125 667.2035522460938 1018.5494384765625],[567.5687255859375 972.2999267578125 667.2035522460938 1018.5494384765625],0.6339427828788757,GY15OGJ,0.2896260599996668
123,1.0,[1125.3719482421875 729.6930541992188 1207.3438720703125 770.3464965820312],[1125.3719482421875 729.6930541992188 1207.3438720703125 770.3464965820312],0.5766881704330444,AP05JEQ,0.5543268133952672
124,6.0,[568.838623046875 973.9866943359375 669.325927734375 1020.3526611328125],[568.838623046875 973.9866943359375 669.325927734375 1020.3526611328125],0.6537469029426575,GY15OGJ,0.16800772090138585
124,1.0,[1120.91259765625 731.1725463867188 1212.331787109375 770.4047241210938],[1120.91259765625 731.1725463867188 1212.331787109375 770.4047241210938],0.6139969229698181,AP05JEO,0.1224064749890164
125,1.0,[1120.5380859375 734.1157836914062 1218.621826171875 774.0027465820312],[1120.5380859375 734.1157836914062 1218.621826171875 774.0027465820312],0.5875699520111084,AF05JEQ,0.3428090525855802
125,8.0,[646.4456787109375 671.6861572265625 724.2781982421875 708.17529296875],[646.4456787109375 671.6861572265625 724.2781982421875 708.17529296875],0.5681099891662598,RI01ZIZ,0.03962159329535832
126,1.0,[1123.611328125 739.0610961914062 1219.146240234375 776.5975341796875],[1123.611328125 739.0610961914062 1219.146240234375 776.5975341796875],0.5462939143180847,AP05JEO,0.2101667589303914
126,33.0,[1242.808837890625 971.4384155273438 1357.568359375 1030.10791015625],[1242.808837890625 971.4384155273438 1357.568359375 1030.10791015625],0.4489558935165405,LM13VCY,0.5583323926841917
127,1.0,[1122.931884765625 736.2777099609375 1208.45849609375 776.2203369140625],[1122.931884765625 736.2777099609375 1208.45849609375 776.2203369140625],0.3829106092453003,AP05JEQ,0.494934974485153
128,1.0,[1113.1705322265625 739.9869384765625 1219.3416748046875 778.975830078125],[1113.1705322265625 739.9869384765625 1219.3416748046875 778.975830078125],0.5361596941947937,AP05JEQ,0.18323562537712224
129,6.0,[560.2978515625 998.8194580078125 663.064697265625 1045.7896728515625],[560.2978515625 998.8194580078125 663.064697265625 1045.7896728515625],0.606914758682251,GX15OCJ,0.5045772680215469
129,8.0,[640.802734375 675.212158203125 717.389892578125 709.4259033203125],[640.802734375 675.212158203125 717.389892578125 709.4259033203125],0.5956763029098511,TH05ZIN,0.0648637404524959
129,33.0,[1243.92724609375 985.1488037109375 1360.4285888671875 1047.240478515625],[1243.92724609375 985.1488037109375 1360.4285888671875 1047.240478515625],0.5577337145805359,LM13VCV,0.2529494762722735
129,1.0,[1126.2744140625 740.4567260742188 1206.7620849609375 774.0877075195312],[1126.2744140625 740.4567260742188 1206.7620849609375 774.0877075195312],0.29593977332115173,AP05JEO,0.1388845524721589
130,6.0,[556.7305297851562 1005.48828125 659.5112915039062 1051.891357421875],[556.7305297851562 1005.48828125 659.5112915039062 1051.891357421875],0.6522775292396545,GX15OGJ,0.3607809004542237
130,1.0,[1123.146240234375 750.49267578125 1220.7352294921875 784.5335693359375],[1123.146240234375 750.49267578125 1220.7352294921875 784.5335693359375],0.5351718664169312,AP05JEO,0.24322276651481764
130,33.0,[1254.010009765625 985.7935791015625 1362.0184326171875 1051.6923828125],[1254.010009765625 985.7935791015625 1362.0184326171875 1051.6923828125],0.5146175622940063,LH13VCV,0.19923541108854134
131,6.0,[558.2844848632812 1010.180419921875 659.4482421875 1055.216552734375],[558.2844848632812 1010.180419921875 659.4482421875 1055.216552734375],0.6457352638244629,GX15OGJ,0.4429028057823774
131,1.0,[1120.6219482421875 753.0670166015625 1221.519287109375 791.8875732421875],[1120.6219482421875 753.0670166015625 1221.519287109375 791.8875732421875],0.5771661400794983,AP05JEO,0.25192650229511404
131,8.0,[639.95458984375 677.814208984375 713.7313842773438 718.78466796875],[639.95458984375 677.814208984375 713.7313842773438 718.78466796875],0.5741122961044312,XH05ZZX,0.15821003842211767
131,33.0,[1252.279052734375 993.1142578125 1361.55126953125 1057.4593505859375],[1252.279052734375 993.1142578125 1361.55126953125 1057.4593505859375],0.42144647240638733,LM13VCV,0.44650905046762207
132,1.0,[1125.5826416015625 751.2698364257812 1219.0634765625 789.0276489257812],[1125.5826416015625 751.2698364257812 1219.0634765625 789.0276489257812],0.5844460725784302,AP05JED,0.4206910056751094
132,6.0,[558.3824462890625 1018.0147705078125 660.0968017578125 1063.1136474609375],[558.3824462890625 1018.0147705078125 660.0968017578125 1063.1136474609375],0.5841636657714844,GX15OGJ,0.2807503082409195
133,1.0,[1125.084716796875 751.4653930664062 1223.5540771484375 794.5900268554688],[1125.084716796875 751.4653930664062 1223.5540771484375 794.5900268554688],0.5834300518035889,AP05JEO,0.4297444412820121
133,33.0,[1264.3360595703125 1000.989990234375 1362.4395751953125 1055.1884765625],[1264.3360595703125 1000.989990234375 1362.4395751953125 1055.1884765625],0.5318077206611633,LM13VCV,0.26215140452034247
133,6.0,[556.562744140625 1023.596923828125 653.6201171875 1064.0394287109375],[556.562744140625 1023.596923828125 653.6201171875 1064.0394287109375],0.5009825229644775,GX15OGJ,0.4248939144103988
134,6.0,[547.722900390625 1026.208984375 656.0729370117188 1070.7734375],[547.722900390625 1026.208984375 656.0729370117188 1070.7734375],0.576181948184967,GX15OGJ,0.7640427631756148
134,1.0,[1128.9569091796875 753.7646484375 1223.113037109375 796.5551147460938],[1128.9569091796875 753.7646484375 1223.113037109375 796.5551147460938],0.5657178163528442,AP05JED,0.37497889872277607
134,33.0,[1257.804443359375 1006.5836791992188 1368.023193359375 1066.208740234375],[1257.804443359375 1006.5836791992188 1368.023193359375 1066.208740234375],0.5516058206558228,LM13VCY,0.1960485007232282
134,8.0,[639.9139404296875 683.1338500976562 709.5111083984375 721.2902221679688],[639.9139404296875 683.1338500976562 709.5111083984375 721.2902221679688],0.5410240292549133,KH05ZZK,0.23984237919760387
135,33.0,[1252.8779296875 1005.2719116210938 1374.5478515625 1071.1981201171875],[1252.8779296875 1005.2719116210938 1374.5478515625 1071.1981201171875],0.6381546258926392,LM13VCV,0.5208941710951971
135,1.0,[1122.284912109375 758.1595458984375 1222.092041015625 796.93359375],[1122.284912109375 758.1595458984375 1222.092041015625 796.93359375],0.6082903146743774,AP05JED,0.2131720095470338
136,33.0,[1256.64892578125 1018.6973876953125 1372.5147705078125 1071.6650390625],[1256.64892578125 1018.6973876953125 1372.5147705078125 1071.6650390625],0.6376228928565979,LM13VCV,0.6403984621188631
136,1.0,[1120.2457275390625 756.7999267578125 1226.0029296875 798.6260986328125],[1120.2457275390625 756.7999267578125 1226.0029296875 798.6260986328125],0.6024762392044067,AP05JEO,0.7730206695859141
137,8.0,[630.9935302734375 690.852294921875 710.7830200195312 730.10205078125],[630.9935302734375 690.852294921875 710.7830200195312 730.10205078125],0.579850971698761,KH05ZTR,0.4900916813706099
137,1.0,[1127.181884765625 762.5438232421875 1228.5625 802.5186767578125],[1127.181884765625 762.5438232421875 1228.5625 802.5186767578125],0.551440417766571,AP05JEO,0.7855270579153071
138,33.0,[1257.1556396484375 1025.2939453125 1374.5745849609375 1080.0],[1257.1556396484375 1025.2939453125 1374.5745849609375 1080.0],0.6484599113464355,LN13YCV,0.2074930715502887
138,1.0,[1122.099609375 765.727294921875 1221.49072265625 804.8353271484375],[1122.099609375 765.727294921875 1221.49072265625 804.8353271484375],0.5701261162757874,JP05JEO,0.26702667115933665
138,8.0,[628.2071533203125 694.9041137695312 710.0704345703125 730.67431640625],[628.2071533203125 694.9041137695312 710.0704345703125 730.67431640625],0.52760910987854,KH05ZIX,0.1956276510814192
139,33.0,[1253.237060546875 1029.893310546875 1379.66357421875 1080.0],[1253.237060546875 1029.893310546875 1379.66357421875 1080.0],0.576054036617279,LM13VCV,0.10956605054043947
140,8.0,[628.9439086914062 696.8541259765625 710.3390502929688 732.52978515625],[628.9439086914062 696.8541259765625 710.3390502929688 732.52978515625],0.5897360444068909,KH05ZZK,0.1995475185528551
